Age,Gender,Location,Income,Savings,Existing Investments,Life Stage,Existing Policies,Website Activity Score,Past Claims,Recommended Policy Type,Coverage Amount,Premium Term,Interest in Add-on Benefits,Upselling Opportunity,Premium Amount
62,Female,Rural,50000,51000,96000,Empty Nesters,0,74,0,Retirement Plan,90000,Whole Life,74,1,15000
29,Male,Urban,71000,78000,61000,Partnered,1,95,1,Investment Plan,90000,5 Years,62,0,15000
31,Female,Rural,42000,9000,94000,Married,2,95,1,Life Insurance,90000,5 Years,83,0,15000
32,Male,Urban,81000,42000,85000,Single,0,95,0,Investment Plan,90000,10 Years,64,0,15000
39,Male,Rural,93000,79000,97000,Single,0,90,1,Investment Plan,90000,10 Years,50,0,15000
40,Male,Urban,44000,16000,6000,Single,0,87,0,Health Insurance,90000,5 Years,80,1,15000
31,Female,Rural,38000,28000,4000,Married,2,84,0,Health Insurance,90000,20 Years,57,1,15000
43,Male,Urban,71000,52000,99000,Married,0,95,1,Investment Plan,90000,20 Years,66,1,15000
46,Male,Urban,53000,28000,45000,Married,2,68,1,Health Insurance,90000,20 Years,73,1,15000
21,Female,Urban,40000,12000,55000,Single,1,95,0,Life Insurance,90000,Whole Life,54,1,15000
28,Male,Rural,80000,38000,21000,Married,1,86,1,Investment Plan,90000,20 Years,64,1,15000
27,Male,Suburban,31000,22000,99000,Single,1,88,1,Life Insurance,90000,5 Years,61,0,15000
39,Male,Urban,29000,32000,9000,Partnered,2,65,1,Health Insurance,90000,Whole Life,62,1,15000
55,Female,Suburban,68000,56000,98000,Parents,0,58,0,Retirement Plan,90000,10 Years,84,0,15000
34,Female,Urban,47000,30000,95000,Married,0,95,0,Health Insurance,90000,5 Years,59,1,15000
39,Female,Urban,57000,34000,87000,Married,1,95,0,Health Insurance,90000,Whole Life,68,1,15000
66,Male,Suburban,47000,51000,41000,Empty Nesters,2,69,0,Retirement Plan,90000,Whole Life,75,0,15000
48,Female,Rural,49000,41000,78000,Parents,1,73,1,Health Insurance,90000,20 Years,74,1,15000
39,Male,Rural,76000,54000,11000,Married,1,74,0,Investment Plan,90000,5 Years,61,1,15000
41,Male,Rural,48000,12000,22000,Married,0,75,0,Health Insurance,90000,20 Years,65,0,15000
30,Male,Urban,92000,54000,55000,Partnered,2,77,0,Investment Plan,90000,Whole Life,69,1,15000
22,Male,Urban,30000,13000,21000,Single,2,95,0,Life Insurance,90000,5 Years,62,0,15000
37,Male,Rural,29000,22000,6000,Single,1,94,1,Health Insurance,90000,5 Years,79,1,15000
56,Female,Rural,64000,22000,30000,Empty Nesters,2,83,1,Retirement Plan,90000,20 Years,57,1,15000
45,Male,Urban,63000,22000,46000,Married,1,64,0,Health Insurance,90000,20 Years,65,0,15000
60,Female,Suburban,62000,26000,5000,Parents,2,37,0,Retirement Plan,90000,5 Years,75,0,15000
31,Male,Rural,47000,41000,9000,Married,0,95,1,Health Insurance,90000,20 Years,66,0,15000
40,Male,Rural,70000,52000,79000,Partnered,1,95,0,Investment Plan,90000,10 Years,69,1,15000
51,Female,Urban,69000,39000,18000,Married,1,54,1,Retirement Plan,90000,10 Years,78,0,15000
42,Male,Urban,30000,30000,87000,Married,0,84,1,Health Insurance,90000,20 Years,73,1,15000
21,Female,Rural,24000,17000,4000,Single,0,95,0,Life Insurance,90000,20 Years,30,0,15000
44,Female,Rural,43000,15000,14000,Married,2,77,0,Health Insurance,90000,5 Years,74,0,15000
34,Female,Urban,40000,30000,38000,Married,0,95,1,Health Insurance,90000,Whole Life,50,0,15000
27,Male,Rural,40000,19000,2000,Partnered,1,95,1,Life Insurance,90000,Whole Life,70,0,15000
33,Male,Urban,63000,57000,88000,Single,2,91,1,Investment Plan,90000,5 Years,76,0,15000
23,Male,Rural,32000,18000,41000,Single,0,91,0,Life Insurance,90000,Whole Life,50,1,15000
68,Female,Urban,83000,56000,7000,Empty Nesters,1,37,1,Retirement Plan,90000,20 Years,81,1,15000
29,Female,Suburban,65000,61000,35000,Single,1,88,0,Investment Plan,90000,20 Years,71,1,15000
42,Male,Urban,57000,37000,62000,Married,2,86,1,Investment Plan,90000,10 Years,57,0,15000
33,Male,Urban,29000,7000,33000,Married,0,85,0,Life Insurance,90000,5 Years,66,0,15000
41,Male,Urban,70000,61000,62000,Parents,1,72,1,Investment Plan,90000,5 Years,76,0,15000
37,Female,Suburban,82000,72000,53000,Married,0,95,0,Investment Plan,90000,10 Years,49,0,15000
68,Male,Urban,46000,37000,15000,Empty Nesters,0,35,1,Retirement Plan,90000,20 Years,86,1,15000
50,Male,Urban,60000,51000,26000,Parents,0,89,0,Retirement Plan,90000,Whole Life,81,0,15000
40,Male,Suburban,73000,39000,36000,Married,1,85,1,Investment Plan,90000,Whole Life,73,0,15000
24,Female,Rural,34000,21000,81000,Single,0,95,0,Life Insurance,90000,5 Years,52,0,15000
40,Male,Suburban,49000,50000,71000,Married,2,48,0,Investment Plan,90000,20 Years,58,0,15000
38,Female,Urban,58000,30000,10000,Partnered,1,82,1,Health Insurance,90000,5 Years,79,1,15000
53,Male,Suburban,55000,39000,44000,Married,1,95,0,Retirement Plan,90000,20 Years,84,0,15000
43,Female,Suburban,35000,31000,72000,Parents,0,79,1,Health Insurance,90000,5 Years,73,0,15000
56,Male,Urban,74000,60000,2000,Married,0,64,1,Retirement Plan,90000,Whole Life,75,0,15000
34,Female,Urban,22000,20000,46000,Married,0,77,1,Life Insurance,90000,20 Years,70,0,15000
44,Female,Suburban,88000,29000,33000,Parents,2,87,0,Investment Plan,90000,10 Years,79,1,15000
59,Male,Suburban,72000,36000,69000,Married,0,54,0,Retirement Plan,90000,10 Years,76,1,15000
37,Male,Rural,57000,26000,8000,Single,0,85,1,Health Insurance,90000,Whole Life,72,0,15000
37,Male,Suburban,33000,10000,81000,Single,2,95,0,Health Insurance,90000,Whole Life,77,0,15000
40,Male,Rural,77000,66000,14000,Partnered,1,61,1,Investment Plan,90000,5 Years,66,0,15000
40,Female,Urban,94000,70000,23000,Single,2,79,0,Investment Plan,90000,10 Years,64,0,15000
42,Male,Urban,96000,56000,37000,Empty Nesters,2,75,1,Investment Plan,90000,20 Years,76,1,15000
37,Male,Rural,94000,48000,45000,Married,1,95,1,Investment Plan,90000,20 Years,66,0,15000
34,Female,Urban,32000,19000,18000,Married,1,67,1,Life Insurance,90000,5 Years,78,0,15000
40,Male,Suburban,59000,70000,73000,Single,0,91,0,Investment Plan,90000,20 Years,67,1,15000
37,Female,Rural,103000,36000,45000,Married,1,73,1,Investment Plan,90000,20 Years,63,1,15000
40,Female,Urban,55000,51000,13000,Married,0,79,0,Investment Plan,90000,10 Years,71,0,15000
33,Female,Urban,33000,14000,61000,Married,2,95,1,Life Insurance,90000,Whole Life,60,0,15000
57,Female,Urban,71000,47000,70000,Married,2,37,1,Retirement Plan,90000,20 Years,79,1,15000
30,Male,Suburban,32000,10000,63000,Single,2,95,1,Life Insurance,90000,Whole Life,52,1,15000
50,Male,Rural,66000,61000,24000,Empty Nesters,0,56,0,Retirement Plan,90000,5 Years,65,0,15000
21,Female,Suburban,34000,9000,10000,Single,2,95,1,Life Insurance,90000,10 Years,56,1,15000
33,Female,Urban,41000,19000,43000,Partnered,1,69,1,Health Insurance,90000,20 Years,66,0,15000
42,Male,Rural,80000,74000,86000,Parents,0,83,0,Investment Plan,90000,Whole Life,73,1,15000
30,Female,Rural,70000,61000,38000,Married,2,95,1,Investment Plan,90000,20 Years,61,1,15000
54,Female,Suburban,49000,41000,9000,Married,1,83,1,Retirement Plan,90000,Whole Life,64,1,15000
46,Male,Rural,40000,24000,84000,Empty Nesters,1,67,1,Health Insurance,90000,Whole Life,62,1,15000
20,Female,Urban,30000,7000,20000,Single,1,95,0,Life Insurance,90000,5 Years,56,0,15000
29,Female,Suburban,45000,6000,76000,Partnered,1,95,0,Life Insurance,90000,5 Years,56,1,15000
24,Female,Suburban,33000,21000,72000,Single,0,87,0,Life Insurance,90000,Whole Life,66,0,15000
34,Male,Rural,57000,26000,42000,Single,1,91,1,Health Insurance,90000,5 Years,68,0,15000
48,Male,Suburban,41000,34000,79000,Parents,2,88,1,Health Insurance,90000,5 Years,67,0,15000
25,Female,Rural,32000,8000,96000,Single,2,95,0,Life Insurance,90000,10 Years,79,0,15000
32,Male,Suburban,53000,27000,82000,Partnered,2,87,0,Health Insurance,90000,Whole Life,60,0,15000
55,Female,Suburban,44000,50000,49000,Parents,0,34,0,Retirement Plan,90000,Whole Life,82,1,15000
27,Female,Suburban,54000,9000,7000,Partnered,0,74,0,Life Insurance,90000,10 Years,49,0,15000
37,Male,Suburban,59000,51000,84000,Single,2,95,0,Investment Plan,90000,5 Years,54,1,15000
68,Female,Rural,69000,30000,2000,Empty Nesters,1,40,1,Retirement Plan,90000,20 Years,84,1,15000
60,Male,Urban,67000,47000,3000,Empty Nesters,2,35,0,Retirement Plan,90000,10 Years,93,1,15000
26,Male,Suburban,36000,16000,51000,Married,2,86,1,Life Insurance,90000,10 Years,72,1,15000
66,Male,Urban,64000,29000,99000,Empty Nesters,1,30,1,Retirement Plan,90000,Whole Life,94,0,15000
45,Female,Urban,41000,16000,13000,Married,2,95,0,Health Insurance,90000,20 Years,62,0,15000
34,Female,Urban,66000,32000,73000,Married,0,93,0,Health Insurance,90000,10 Years,71,1,15000
27,Female,Suburban,29000,18000,27000,Single,2,95,0,Life Insurance,90000,20 Years,66,1,15000
31,Female,Suburban,57000,39000,28000,Partnered,0,93,0,Health Insurance,90000,20 Years,67,0,15000
41,Male,Suburban,39000,62000,24000,Parents,0,76,1,Investment Plan,90000,5 Years,60,0,15000
26,Male,Urban,37000,5000,62000,Single,2,95,1,Life Insurance,90000,20 Years,60,0,15000
60,Female,Rural,75000,40000,24000,Empty Nesters,2,33,0,Retirement Plan,90000,5 Years,56,1,15000
56,Female,Rural,88000,33000,41000,Married,2,60,0,Retirement Plan,90000,10 Years,70,1,15000
35,Female,Suburban,72000,51000,28000,Single,0,74,1,Investment Plan,90000,10 Years,92,1,15000
46,Female,Urban,55000,25000,88000,Empty Nesters,1,92,1,Health Insurance,90000,5 Years,71,0,15000
42,Female,Suburban,45000,35000,26000,Empty Nesters,1,95,0,Health Insurance,90000,Whole Life,81,0,15000
30,Male,Suburban,15000,9000,50000,Partnered,0,95,1,Life Insurance,90000,20 Years,74,1,15000
26,Male,Rural,78000,79000,31000,Married,2,95,0,Investment Plan,90000,Whole Life,77,0,15000
54,Male,Urban,77000,47000,33000,Married,1,70,1,Retirement Plan,90000,20 Years,72,1,15000
44,Male,Urban,37000,29000,55000,Parents,1,64,0,Health Insurance,90000,Whole Life,77,0,15000
29,Female,Rural,28000,5000,18000,Married,2,95,1,Life Insurance,90000,10 Years,69,1,15000
34,Female,Suburban,91000,45000,18000,Married,2,95,1,Investment Plan,90000,5 Years,63,1,15000
42,Male,Rural,42000,20000,61000,Empty Nesters,1,91,0,Health Insurance,90000,10 Years,76,1,15000
50,Male,Suburban,61000,75000,53000,Empty Nesters,2,74,1,Retirement Plan,90000,10 Years,88,0,15000
33,Female,Urban,63000,37000,71000,Married,1,88,1,Health Insurance,90000,Whole Life,68,0,15000
41,Female,Urban,61000,66000,26000,Empty Nesters,2,94,1,Investment Plan,90000,20 Years,76,0,15000
54,Male,Urban,93000,54000,98000,Married,2,54,1,Retirement Plan,90000,5 Years,79,0,15000
65,Female,Suburban,74000,39000,91000,Empty Nesters,2,39,1,Retirement Plan,90000,20 Years,76,1,15000
50,Male,Rural,53000,36000,92000,Married,1,92,1,Retirement Plan,90000,20 Years,71,0,15000
35,Female,Rural,80000,73000,92000,Married,1,89,0,Investment Plan,90000,20 Years,76,1,15000
42,Male,Urban,78000,78000,59000,Married,2,90,0,Investment Plan,90000,5 Years,77,0,15000
25,Female,Urban,25000,5000,80000,Single,1,95,0,Life Insurance,90000,10 Years,71,1,15000
28,Male,Suburban,92000,46000,51000,Partnered,2,95,0,Investment Plan,90000,Whole Life,72,1,15000
21,Female,Urban,35000,22000,68000,Single,0,95,1,Life Insurance,90000,5 Years,72,1,15000
33,Male,Suburban,38000,21000,89000,Married,2,88,0,Health Insurance,90000,Whole Life,80,0,15000
33,Male,Rural,26000,14000,10000,Partnered,2,77,1,Life Insurance,90000,Whole Life,77,0,15000
28,Female,Urban,29000,12000,71000,Partnered,2,95,1,Life Insurance,90000,Whole Life,47,1,15000
56,Male,Rural,54000,44000,31000,Empty Nesters,1,70,0,Retirement Plan,90000,Whole Life,83,0,15000
40,Male,Rural,71000,71000,86000,Partnered,0,64,1,Investment Plan,90000,10 Years,80,1,15000
66,Female,Suburban,66000,47000,92000,Empty Nesters,2,47,0,Retirement Plan,90000,20 Years,78,1,15000
31,Female,Suburban,29000,7000,60000,Partnered,0,78,0,Life Insurance,90000,5 Years,70,1,15000
65,Female,Rural,69000,60000,70000,Empty Nesters,1,60,0,Retirement Plan,90000,10 Years,95,1,15000
28,Male,Rural,27000,7000,33000,Partnered,0,95,1,Life Insurance,90000,Whole Life,42,0,15000
37,Female,Suburban,61000,64000,46000,Married,2,95,0,Investment Plan,90000,5 Years,61,1,15000
28,Female,Urban,72000,60000,17000,Single,1,76,1,Investment Plan,90000,20 Years,60,1,15000
22,Male,Urban,36000,13000,83000,Single,0,95,1,Life Insurance,90000,Whole Life,65,1,15000
64,Female,Rural,52000,49000,96000,Empty Nesters,0,42,0,Retirement Plan,90000,5 Years,83,0,15000
57,Male,Rural,69000,40000,55000,Empty Nesters,2,54,0,Retirement Plan,90000,20 Years,79,1,15000
31,Male,Suburban,31000,12000,30000,Single,1,93,1,Life Insurance,90000,20 Years,68,1,15000
66,Female,Urban,74000,48000,51000,Empty Nesters,0,38,0,Retirement Plan,90000,5 Years,81,1,15000
25,Male,Urban,81000,36000,17000,Single,1,95,0,Investment Plan,90000,20 Years,77,0,15000
48,Female,Suburban,49000,9000,69000,Married,1,65,1,Health Insurance,90000,10 Years,74,1,15000
32,Male,Suburban,82000,53000,38000,Single,0,95,1,Investment Plan,90000,Whole Life,67,1,15000
60,Female,Rural,70000,50000,66000,Married,1,47,0,Retirement Plan,90000,5 Years,75,1,15000
32,Male,Urban,75000,59000,84000,Married,1,59,0,Investment Plan,90000,Whole Life,55,0,15000
49,Female,Suburban,37000,38000,55000,Married,2,64,1,Health Insurance,90000,20 Years,91,0,15000
41,Male,Rural,95000,56000,5000,Married,0,62,1,Investment Plan,90000,Whole Life,75,1,15000
54,Female,Urban,47000,36000,91000,Empty Nesters,2,55,0,Retirement Plan,90000,5 Years,68,0,15000
35,Male,Urban,50000,24000,99000,Partnered,2,81,0,Health Insurance,90000,5 Years,63,0,15000
37,Male,Rural,63000,58000,16000,Single,1,74,1,Investment Plan,90000,10 Years,69,0,15000
59,Female,Rural,82000,52000,87000,Empty Nesters,1,76,0,Retirement Plan,90000,10 Years,68,0,15000
58,Female,Rural,51000,34000,34000,Parents,0,51,0,Retirement Plan,90000,5 Years,88,0,15000
57,Male,Suburban,67000,37000,75000,Parents,1,50,1,Retirement Plan,90000,10 Years,78,1,15000
30,Male,Suburban,35000,19000,0,Partnered,2,87,0,Life Insurance,90000,5 Years,66,0,15000
33,Female,Urban,45000,31000,71000,Married,1,92,1,Health Insurance,90000,10 Years,56,1,15000
57,Female,Suburban,76000,48000,69000,Married,2,50,0,Retirement Plan,90000,10 Years,61,1,15000
65,Male,Suburban,76000,58000,51000,Empty Nesters,1,54,1,Retirement Plan,90000,20 Years,91,0,15000
69,Male,Rural,62000,60000,49000,Empty Nesters,0,40,1,Retirement Plan,90000,20 Years,95,0,15000
32,Male,Urban,37000,31000,3000,Single,0,90,1,Health Insurance,90000,Whole Life,64,1,15000
38,Female,Suburban,37000,17000,74000,Single,1,78,1,Health Insurance,90000,Whole Life,74,0,15000
62,Female,Rural,47000,44000,89000,Empty Nesters,2,76,0,Retirement Plan,90000,Whole Life,73,0,15000
63,Male,Rural,77000,45000,20000,Empty Nesters,2,69,1,Retirement Plan,90000,Whole Life,86,0,15000
57,Male,Urban,59000,65000,88000,Parents,1,37,1,Retirement Plan,90000,10 Years,80,1,15000
64,Female,Suburban,79000,30000,69000,Empty Nesters,0,56,1,Retirement Plan,90000,20 Years,91,0,15000
44,Female,Urban,76000,55000,94000,Parents,2,80,1,Investment Plan,90000,10 Years,60,0,15000
30,Male,Rural,42000,32000,97000,Married,0,91,1,Health Insurance,90000,20 Years,69,0,15000
45,Male,Suburban,47000,12000,57000,Empty Nesters,2,71,0,Health Insurance,90000,5 Years,72,0,15000
20,Male,Urban,22000,5000,40000,Single,2,95,1,Life Insurance,90000,Whole Life,52,1,15000
30,Female,Suburban,45000,12000,88000,Partnered,2,78,1,Life Insurance,90000,10 Years,72,0,15000
53,Male,Suburban,61000,24000,93000,Married,1,43,1,Retirement Plan,90000,10 Years,63,1,15000
50,Male,Rural,40000,52000,16000,Empty Nesters,2,71,0,Retirement Plan,90000,5 Years,78,0,15000
32,Male,Urban,36000,9000,85000,Married,0,88,0,Life Insurance,90000,10 Years,55,1,15000
45,Male,Suburban,28000,31000,16000,Parents,0,65,1,Health Insurance,90000,5 Years,77,0,15000
31,Male,Urban,56000,37000,8000,Partnered,0,93,1,Health Insurance,90000,10 Years,74,1,15000
20,Male,Urban,29000,6000,25000,Single,2,92,0,Life Insurance,90000,20 Years,37,0,15000
43,Female,Urban,90000,55000,81000,Parents,2,78,1,Investment Plan,90000,5 Years,70,0,15000
32,Male,Rural,20000,24000,40000,Single,2,94,0,Life Insurance,90000,10 Years,66,1,15000
30,Female,Urban,22000,19000,17000,Partnered,0,95,1,Life Insurance,90000,Whole Life,69,1,15000
21,Male,Suburban,25000,7000,68000,Single,1,95,0,Life Insurance,90000,5 Years,51,0,15000
28,Male,Urban,38000,9000,43000,Single,2,95,1,Life Insurance,90000,5 Years,67,1,15000
38,Male,Urban,48000,12000,97000,Single,1,88,1,Health Insurance,90000,Whole Life,78,0,15000
60,Male,Urban,56000,21000,83000,Parents,2,36,0,Retirement Plan,90000,5 Years,76,0,15000
53,Female,Suburban,53000,46000,4000,Parents,1,39,0,Retirement Plan,90000,10 Years,81,0,15000
34,Male,Urban,45000,26000,66000,Single,2,95,1,Health Insurance,90000,Whole Life,52,1,15000
26,Male,Rural,22000,5000,93000,Married,0,95,0,Life Insurance,90000,20 Years,47,1,15000
69,Male,Rural,71000,53000,83000,Empty Nesters,0,38,1,Retirement Plan,90000,20 Years,95,1,15000
21,Male,Urban,29000,10000,99000,Single,1,95,0,Life Insurance,90000,10 Years,60,0,15000
27,Female,Rural,79000,68000,16000,Single,0,85,1,Investment Plan,90000,5 Years,70,1,15000
34,Female,Rural,50000,22000,7000,Married,2,95,1,Health Insurance,90000,20 Years,77,1,15000
38,Female,Suburban,44000,23000,17000,Partnered,0,95,0,Health Insurance,90000,Whole Life,86,1,15000
46,Male,Suburban,40000,26000,75000,Parents,1,63,0,Health Insurance,90000,Whole Life,90,1,15000
68,Male,Suburban,49000,34000,70000,Empty Nesters,1,64,0,Retirement Plan,90000,10 Years,77,0,15000
20,Male,Suburban,33000,13000,75000,Single,1,95,0,Life Insurance,90000,Whole Life,75,0,15000
53,Female,Rural,54000,40000,93000,Married,1,53,0,Retirement Plan,90000,Whole Life,75,1,15000
22,Male,Suburban,35000,8000,44000,Single,0,95,1,Life Insurance,90000,Whole Life,44,1,15000
37,Male,Suburban,65000,47000,7000,Partnered,0,73,1,Investment Plan,90000,Whole Life,63,1,15000
32,Female,Rural,72000,54000,71000,Partnered,1,95,0,Investment Plan,90000,20 Years,49,0,15000
36,Female,Suburban,43000,31000,93000,Partnered,0,72,1,Health Insurance,90000,Whole Life,79,1,15000
42,Male,Suburban,43000,22000,79000,Married,2,95,0,Health Insurance,90000,20 Years,95,1,15000
63,Male,Urban,54000,45000,61000,Empty Nesters,2,50,0,Retirement Plan,90000,5 Years,70,0,15000
38,Male,Suburban,82000,67000,3000,Partnered,1,95,0,Investment Plan,90000,Whole Life,73,0,15000
22,Male,Urban,36000,23000,81000,Single,0,95,0,Life Insurance,90000,5 Years,63,0,15000
31,Female,Rural,68000,67000,53000,Single,2,86,0,Investment Plan,90000,5 Years,83,1,15000
25,Male,Urban,25000,8000,38000,Single,1,90,0,Life Insurance,90000,5 Years,70,0,15000
61,Male,Suburban,76000,36000,80000,Empty Nesters,0,53,1,Retirement Plan,90000,Whole Life,68,0,15000
32,Female,Urban,61000,23000,2000,Married,2,74,1,Health Insurance,90000,20 Years,65,0,15000
26,Female,Suburban,51000,49000,27000,Single,0,92,1,Investment Plan,90000,20 Years,71,1,15000
60,Female,Suburban,62000,52000,38000,Empty Nesters,2,65,0,Retirement Plan,90000,20 Years,91,0,15000
25,Female,Rural,64000,64000,47000,Single,0,95,0,Investment Plan,90000,20 Years,56,0,15000
55,Male,Suburban,52000,34000,78000,Parents,0,86,1,Retirement Plan,90000,20 Years,73,0,15000
22,Female,Suburban,40000,17000,17000,Single,0,95,0,Life Insurance,90000,5 Years,64,1,15000
28,Male,Rural,75000,81000,14000,Married,2,95,1,Investment Plan,90000,10 Years,69,1,15000
27,Male,Rural,22000,7000,58000,Married,2,95,0,Life Insurance,90000,Whole Life,50,1,15000
29,Female,Rural,22000,22000,13000,Married,2,95,0,Life Insurance,90000,20 Years,75,1,15000
30,Female,Rural,44000,15000,95000,Single,0,95,0,Health Insurance,90000,10 Years,40,1,15000
60,Male,Suburban,63000,41000,54000,Married,2,38,0,Retirement Plan,90000,10 Years,82,1,15000
20,Male,Rural,23000,7000,99000,Single,2,95,1,Life Insurance,90000,10 Years,60,0,15000
27,Female,Urban,88000,55000,25000,Partnered,0,95,0,Investment Plan,90000,20 Years,45,0,15000
42,Female,Rural,49000,50000,47000,Empty Nesters,2,77,0,Investment Plan,90000,5 Years,71,0,15000
59,Male,Urban,78000,54000,28000,Empty Nesters,0,80,0,Retirement Plan,90000,Whole Life,69,0,15000
33,Female,Suburban,33000,9000,29000,Partnered,1,95,1,Life Insurance,90000,5 Years,56,0,15000
32,Female,Suburban,70000,34000,75000,Married,1,95,0,Investment Plan,90000,5 Years,49,0,15000
34,Male,Rural,27000,0,88000,Single,2,93,1,Life Insurance,90000,10 Years,62,0,15000
56,Male,Suburban,75000,23000,41000,Empty Nesters,1,86,0,Retirement Plan,90000,Whole Life,61,1,15000
35,Female,Rural,45000,28000,73000,Partnered,1,95,0,Health Insurance,90000,5 Years,65,1,15000
29,Male,Rural,71000,34000,49000,Single,0,87,0,Investment Plan,90000,20 Years,62,1,15000
38,Female,Suburban,71000,52000,38000,Single,1,95,1,Investment Plan,90000,5 Years,67,0,15000
37,Male,Suburban,44000,34000,71000,Partnered,2,75,0,Health Insurance,90000,20 Years,59,1,15000
35,Female,Rural,67000,84000,47000,Single,0,95,1,Investment Plan,90000,10 Years,75,0,15000
67,Female,Suburban,63000,52000,86000,Empty Nesters,1,74,1,Retirement Plan,90000,10 Years,83,0,15000
20,Male,Rural,28000,17000,1000,Single,2,95,1,Life Insurance,90000,Whole Life,51,0,15000
21,Male,Suburban,36000,8000,78000,Single,2,95,0,Life Insurance,90000,10 Years,71,1,15000
56,Male,Rural,43000,49000,89000,Empty Nesters,2,88,0,Retirement Plan,90000,20 Years,95,1,15000
37,Male,Suburban,70000,57000,16000,Partnered,0,77,1,Investment Plan,90000,10 Years,86,0,15000
67,Female,Suburban,74000,35000,88000,Empty Nesters,1,52,0,Retirement Plan,90000,20 Years,89,1,15000
22,Male,Urban,20000,11000,67000,Single,1,95,0,Life Insurance,90000,5 Years,58,1,15000
33,Female,Rural,37000,27000,9000,Married,2,95,0,Health Insurance,90000,Whole Life,67,0,15000
32,Female,Urban,46000,24000,25000,Partnered,1,93,1,Life Insurance,90000,5 Years,62,1,15000
49,Male,Rural,46000,30000,73000,Empty Nesters,2,78,1,Health Insurance,90000,Whole Life,74,1,15000
23,Female,Rural,15000,19000,84000,Single,2,95,1,Life Insurance,90000,Whole Life,69,1,15000
44,Female,Suburban,58000,58000,27000,Parents,1,74,1,Investment Plan,90000,Whole Life,71,1,15000
37,Male,Suburban,45000,86000,67000,Partnered,2,83,0,Investment Plan,90000,Whole Life,64,1,15000
44,Female,Rural,89000,48000,58000,Parents,2,57,0,Investment Plan,90000,5 Years,72,1,15000
25,Male,Rural,68000,70000,40000,Single,2,95,0,Investment Plan,90000,20 Years,57,1,15000
32,Female,Suburban,43000,26000,16000,Single,0,95,1,Health Insurance,90000,10 Years,60,0,15000
61,Male,Rural,65000,41000,91000,Empty Nesters,1,73,1,Retirement Plan,90000,Whole Life,73,1,15000
55,Female,Suburban,87000,50000,25000,Parents,0,87,0,Retirement Plan,90000,Whole Life,54,1,15000
25,Male,Rural,92000,70000,87000,Single,0,89,0,Investment Plan,90000,10 Years,78,0,15000
30,Female,Suburban,45000,34000,98000,Married,0,95,1,Health Insurance,90000,10 Years,60,0,15000
65,Female,Urban,48000,57000,66000,Empty Nesters,1,34,1,Retirement Plan,90000,20 Years,87,0,15000
30,Male,Rural,40000,14000,51000,Partnered,0,95,0,Life Insurance,90000,Whole Life,57,1,15000
56,Male,Rural,68000,41000,5000,Married,2,30,1,Retirement Plan,90000,5 Years,83,1,15000
42,Female,Urban,93000,43000,9000,Empty Nesters,0,80,0,Investment Plan,90000,10 Years,79,1,15000
21,Female,Rural,38000,3000,96000,Single,2,95,1,Life Insurance,90000,10 Years,76,1,15000
53,Female,Rural,79000,60000,37000,Married,0,68,1,Retirement Plan,90000,10 Years,70,0,15000
59,Male,Suburban,43000,38000,26000,Empty Nesters,1,95,1,Retirement Plan,90000,Whole Life,91,0,15000
53,Female,Rural,63000,49000,10000,Married,1,79,0,Retirement Plan,90000,5 Years,67,0,15000
34,Male,Rural,51000,31000,27000,Single,1,85,1,Health Insurance,90000,5 Years,66,1,15000
30,Female,Urban,43000,24000,7000,Single,2,95,1,Health Insurance,90000,20 Years,72,0,15000
40,Female,Rural,72000,73000,45000,Single,0,81,1,Investment Plan,90000,Whole Life,53,0,15000
29,Male,Rural,65000,58000,49000,Married,1,75,0,Investment Plan,90000,5 Years,68,0,15000
59,Female,Urban,74000,44000,41000,Parents,2,56,0,Retirement Plan,90000,Whole Life,69,0,15000
43,Female,Suburban,40000,23000,7000,Empty Nesters,2,65,1,Health Insurance,90000,20 Years,59,0,15000
56,Male,Rural,76000,51000,90000,Parents,2,55,0,Retirement Plan,90000,Whole Life,76,0,15000
30,Female,Suburban,84000,60000,79000,Single,2,86,0,Investment Plan,90000,5 Years,85,0,15000
36,Female,Rural,31000,28000,68000,Single,1,95,0,Health Insurance,90000,Whole Life,53,1,15000
32,Female,Urban,58000,36000,11000,Married,0,95,0,Health Insurance,90000,10 Years,44,1,15000
48,Male,Urban,61000,14000,53000,Parents,1,58,1,Health Insurance,90000,10 Years,95,0,15000
58,Female,Suburban,62000,54000,57000,Married,1,47,0,Retirement Plan,90000,10 Years,73,0,15000
34,Female,Rural,66000,51000,36000,Married,2,95,0,Investment Plan,90000,20 Years,51,0,15000
45,Male,Suburban,43000,27000,5000,Parents,0,80,1,Health Insurance,90000,20 Years,68,1,15000
31,Female,Suburban,23000,10000,82000,Single,0,95,0,Life Insurance,90000,10 Years,45,0,15000
37,Male,Rural,65000,32000,78000,Partnered,0,95,1,Health Insurance,90000,Whole Life,82,0,15000
32,Male,Urban,18000,7000,50000,Partnered,0,95,1,Life Insurance,90000,10 Years,64,1,15000
64,Male,Suburban,58000,39000,12000,Empty Nesters,1,70,1,Retirement Plan,90000,5 Years,69,0,15000
61,Male,Suburban,82000,51000,26000,Empty Nesters,0,73,0,Retirement Plan,90000,10 Years,66,0,15000
41,Male,Urban,45000,44000,65000,Married,2,95,0,Health Insurance,90000,10 Years,62,0,15000
28,Female,Suburban,30000,18000,53000,Married,1,95,0,Life Insurance,90000,5 Years,82,0,15000
